name,vicinity,plus_code,user_ratings_total,rating,place_id
Hotel Zur Post,"Königswinterer Straße 309, Bonn","P4HW+4Q Bonn, Germany",471,4.1,ChIJAUyqfEnhvkcRyoCDdmvasbc
Dorint Venusberg Bonn,"An der Casselsruhe 1, Bonn","P452+64 Bonn, Germany",763,4.3,ChIJ7Za0ftTjvkcRwxkAV9Y-ajU
President Hotel,"Clemens-August-Straße 32 - 36, Bonn","P3FQ+6J Bonn, Germany",730,3.9,ChIJO33_O4XhvkcRMycxTyPIj2s
Hotel-Restaurant Sebastianushof,"Waldburgstraße 34, Bonn","M4JR+PR Bonn, Germany",435,4.3,ChIJ4XlN1YnjvkcRW1RqMKpvdxw
Insel Hotel,"Theaterplatz 5-7, Bonn","M5M3+9P Bonn, Germany",717,4.4,ChIJGbNCinHkvkcR77Klam6W9So
Restaurant Löwen,"Von-Groote-Platz 1, Bonn","M5M5+WR Bonn, Germany",245,4.3,ChIJUQcas23kvkcRlXhdN5zkpSY
Gasthaus im Stiefel,"Bonngasse 30, Bonn","P4P2+VF Bonn, Germany",1683,4.3,ChIJybRf5aDhvkcRlRUfcfTOTjs
Wirtshaus Salvator,"In der Sürst 5-7, Bonn","P3MX+98 Bonn, Germany",1534,4.2,ChIJ25ZLZJ_hvkcR7jqBie7OHuY
Harmonie,"Frongasse 28-30, Bonn","P3GF+PQ Bonn, Germany",1479,4.6,ChIJOzw5zZLhvkcRhmh2YiGZ0m4
Em Höttche,"Markt 4, Bonn","P4P3+36 Bonn, Germany",1516,4.1,ChIJMQrYcKDhvkcRNlfY5D1WRDY
Sudhaus,"Friedensplatz 10, Bonn","P3PX+G7 Bonn, Germany",1544,4.1,ChIJN9oonKHhvkcRN5NLycfKmVA
Brauhaus Bönnsch,"Sterntorbrücke 4, Bonn","P3PW+PW Bonn, Germany",3273,4.2,ChIJr0PsfqHhvkcRc49PTElTFz4
Vapiano,"Ollenhauerstraße 1, Bonn","P46G+3F Bonn, Germany",2786,3.9,ChIJpfmeyOHjvkcRuBhFwhaSn-k
Tacos Bonn,"Bonngasse 7, Bonn","P4P2+C9 Bonn, Germany",2707,4.1,ChIJe-VBWqDhvkcRyW-Ay_ftxPc
Tuscolo Munster view,"Gerhard-von-Are-Straße 8, Bonn","P3MX+5W Bonn, Germany",4934,4.4,ChIJYTaom5_hvkcRXWqyul9xh20
TAO Bar & Restaurant,"Mildred-Scheel-Straße 1, Bonn","P44V+FW Bonn, Germany",838,4.4,ChIJN4DK2v7jvkcR8I-lw7VvW-E
Ichiban Sushibar,"Stockenstraße 14, Bonn","P4M3+QC Bonn, Germany",759,4.5,ChIJDem1pQrhvkcRso_CvfhT080
Meyers Speis & Trank,"Clemens-August-Straße 51A, Bonn","P3CQ+WH Bonn, Germany",809,4.2,ChIJcbbaE4XhvkcR0-Cpfm9It78
Godesburg,"Auf dem Godesberg 5, Bonn","M5P2+3C Bonn, Germany",1007,4.4,ChIJO747B3TkvkcRuZHSI1G4ewk
Ristorante Sassella,"Karthäuserplatz 21, Bonn","P464+XH Bonn, Germany",348,4.4,ChIJ20UkKNbjvkcRrMitWJsWqH0
Ruland Pizza Pasta Vino,"Bischofsplatz 1, Bonn","P4M3+V5 Bonn, Germany",304,4.3,ChIJGVn2CqDhvkcRtroWNXcTJ94
Cassius Garten Vollwert-Ernährung GmbH,"Maximilianstraße 28 d, Bonn","P3MW+7R Bonn, Germany",451,4.6,ChIJ_XhMRJ_hvkcRKV1EK-YKpDs
Shaker's,"Bornheimer Straße 26, Bonn","P3PV+J5 Bonn, Germany",1265,4,ChIJmT-G-qLhvkcRNy_d_kdvhn4
Taste of India Restaurant,"Rheingasse 13, Bonn","P4P4+C8 Bonn, Germany",374,4,ChIJR34aWArhvkcR5ZWfQ3Pp9W8
La Vita Ristorante,"Kessenicher Straße 165, Bonn","P437+WH Bonn, Germany",558,4.4,ChIJ2ykECtvjvkcRRSmk_5Nz530
Lammé Goedzak,"Argelanderstraße 86, Bonn","P3FX+FG Bonn, Germany",358,4.4,ChIJy--YSZ3hvkcRV8BAFXjF_Ks
El Tarascon,"Clemens-August-Straße 2-4, Bonn","P3FQ+MW Bonn, Germany",989,4.7,ChIJg3-s05rhvkcRe29SnKEFCUU
